ROW_ID;ID;TITLE;ALT TITLE;RLS DATE;DURATION (MIN);CATEGORIES;NB_EPISODES;DESCRIPTION;IMAGE;KEYWORDS
1;4488;Juuza Engi : Engetsu Sangokuden;ND;En cours;1;;ND;L’histoire se déroule à l’époque Sangokushi où les royaumes combattent en Chine. Nous suivons la vie quotidienne de la jeune Kanu, issue du peuple des chats que l'on surnomme les Juuza (13e signe du Zodiaque). Considérés comme une race inférieure, les Juuza vivent en solitaire, loin des humains. Cependant, tout bascule quand la fin de la dynastie des Han se rapproche et que la guerre touche le peuple des chats…;https://str01-m.dpstream.media/a/4488/juuza_engi_engetsu_sangokuden_-_gaiden_youzhou_genya_4005-1479903084.jpg;Manga Juuza Engi : Engetsu Sangokuden streaming, Manga Juuza Engi : Engetsu Sangokuden dpstream, Manga Juuza Engi : Engetsu Sangokuden HD, Juuza Engi : Engetsu Sangokuden streaming VF
2;4487;Hagane Orchestra;ND;En cours;12;;12;Basé sur le jeu du même nom développé par Hanbit Ubiquitous Entertainment. Le jeu devrait sortir durant la diffusion de la série animée.;https://str01-m.dpstream.media/a/4487/hagane_orchestra_5898-1479902886.jpg;Manga Hagane Orchestra streaming, Manga Hagane Orchestra dpstream, Manga Hagane Orchestra HD, Hagane Orchestra streaming VF
3;4486;Sword Art Online II;ND;En cours;24;;24;"Titre alternatif : SAO II / Sword Art Online : Phantom Bullet

Sword Art Online II est la seconde saison de l’anime Sword Art Online.
Cette seconde saison est centrée sur les volumes 5 et 6 du light novel de Kawahara Reki et adapte donc l’arc « Phantom Bullet ».
L’histoire de cette nouvelle saison prend place un an après les évènements de ALO (ALfheim Online).

Suite à sa victoire fortuite face à Sugou Nobuyuki (le maitre de ALO), Kirito est retourné à sa paisible vie de lycéen.
Il n’aspire désormais qu’à une seule chose : profiter pleinement de sa vie.
Mais une nouvelle fois, le devoir le rappelle à l’ordre…

En effet, suite aux morts de plusieurs joueurs de Gun Gale Online (un jeu de tir massivement multi-joueurs), le Ministère des Affaires intérieures et des Communications japonais a pris la ferme résolution de retrouver l’assassin des victimes.

Afin d’identifier ce meurtrier, il sollicite l’aide de Kirito et l’envoie enquêter dans le monde de Gun Gale Online.

Envoyé malgré lui dans cet univers fantaisiste où se mêle gun fights et action, Kirito n’aura d’autres choix que de débusquer ce mystérieux assassin qui se fait appeler Death Gun et qui visiblement, posséderait la faculté de pouvoir tuer les joueurs dans la réalité.

La saison 2 adapte également les arcs Caliber et Mother's Rosario.";https://str01-m.dpstream.media/a/4486/sword_art_online_ii_3004-1479557255.jpg;Manga  Sword Art Online II streaming, Manga  Sword Art Online II dpstream, Manga  Sword Art Online II HD,  Sword Art Online II streaming VF
4;4485;Sword Art Online;ND;En cours;25;;25;"Cette série raconte les aventures de Kirito qui se retrouve piégé dans un jeu massivement multi-joueurs, Sword Art Online.

En 2022, l’humanité a réussi à créer une réalité virtuelle. Grâce à un casque, les humains peuvent se plonger entièrement dans le monde virtuel en étant comme déconnectés de la réalité, et Sword Art Online est le premier MMORPG a utiliser ce système. Mais voila que le premier jour de jeu, 10 000 personnes se retrouvent piégées dans cette réalité virtuelle par son créateur : Akihiko Kayaba. Le seul moyen d’en sortir est de finir le jeu. Mais ce ne sera pas facile de sortir de ce monde virtuel puisque si un joueur perd la partie, il meurt également dans la vraie vie.

Kirito décide alors de partir à la conquête du jeu en solo, avec pour avantage le fait de faire partie des 1 000 ex-bêta-testeurs, mais arrivera-t-il à terminer les 99 donjons et leurs boss ?";https://str01-m.dpstream.media/a/4485/sword_art_online_2234-1479557165.jpg;Manga Sword Art Online streaming, Manga Sword Art Online dpstream, Manga Sword Art Online HD, Sword Art Online streaming VF
5;4484;Black Butler 2;ND;En cours;12;;12;"Titre alternatif : Black Butler II / Kuroshitsuji 2

Kuroshitsuji II est la deuxième saison de la série Kuroshitsuji.

Deux nouveaux personnages s'ajoute en compagnie de Ciel Phantomhive et Sebastian Michaelis.
Alois Trancy, jeune noble et Claude Faustus, Majordome des Enfers.
On découvre aussi une mystérieuse soubrette du nom d'Hannah accompagné par trois domestiques du nom de Timber, Thompson et Cantebury à la ressemblances plus que flagrante, si ce n'est que leurs coupes de cheveux qui diffèrent quelques peu.

L'histoire se déroulera à la même période que la précédente série, c'est-à-dire au milieu du XIXème siècle en Angleterre mais aura une histoire quelque peu différente de la première saison. Celle-ci opposant les deux nobles (Ciel et Alois) et leurs majordomes (Sebastian et Claude).

Au centre de cette histoire, le lien maudit qui unis le jeune noble au majordome perdurent encore et toujours. Car il se pourrait que ce lien soit semblable à celui qui unit Ciel à Sebastian...";https://str01-m.dpstream.media/a/4484/kuroshitsuji_ii_1768-1479297657.jpg;Manga Black Butler 2 streaming, Manga Black Butler 2 dpstream, Manga Black Butler 2 HD, Black Butler 2 streaming VF
6;4483;Black Butler;ND;En cours;24;;24;"Titre alternatif : Kuro Shitsuji / Kuroshitsuzi

À la deuxième moitié du XIXème siècle, à l'époque Victorienne, à Londres, un jeune maître de douze ans, nommé Ciel Phantomhive, dirige la famille la plus noble et la plus redoutée de toute l'Angleterre.

La raison d'une telle réussite en affaire à un âge aussi jeune ? Son talentueux majordome, Sebastian Michaelis. Ce qui peut être impossible pour un homme normal, ne l'est pas pour ce majordome, et comme il le dit souvent, 'Je ne suis qu'un diable de Majordome'.
Sebastian cache donc un grand secret, couvert par un contrat entre lui et son jeune maître.";https://str01-m.dpstream.media/a/4483/kuroshitsuji_926-1479297540.jpg;Manga Black Butler streaming, Manga Black Butler dpstream, Manga Black Butler HD, Black Butler streaming VF
7;4482;Accel World Infinite ∞ Burst. (Film);ND;En cours;1;;1;"Titre alternatif : Accel World Unlimited ∞ Burst / Accel World : Infinite Burst

Accel World Infinite ∞ Burst n'est pas une suite d'Accel World. Il s'agira d'une histoire originale rédigée par Reki Kawahara pour l'occasion.

On y retrouvera toutefois des personnages de la série originale tels que Haruyuki, Kuroyukihime, Chiyuri et Takumu.";https://str01-m.dpstream.media/a/4482/accel_world_infinite_burst_4858-1479297356.jpg;Manga Accel World Infinite ∞ Burst. (Film) streaming, Manga Accel World Infinite ∞ Burst. (Film) dpstream, Manga Accel World Infinite ∞ Burst. (Film) HD, Accel World Infinite ∞ Burst. (Film) streaming VF
8;4481;Ame-iro Cocoa 3rd Season;ND;En cours;2 min;;ND;Troisième saison de l'anime Ame-iro Cocoa.;https://str01-m.dpstream.media/a/4481/index-1479297228.jpg;Manga  Ame-iro Cocoa 3rd Season streaming, Manga  Ame-iro Cocoa 3rd Season dpstream, Manga  Ame-iro Cocoa 3rd Season HD,  Ame-iro Cocoa 3rd Season streaming VF
9;4480;Haikyuu !!;ND;En cours;25;;25;"Titre alternatif : Haikyuu !! / Haikyû !!

Shôyô Hinata, surnommé Shô, aime plus que tout jouer au volley-ball et ce, malgré sa petite taille. Malheureusement, suite à une sévère défaite, son club de collège a été dissous, tous les membres étant partis.
Mais Shô est bien décidé à jouer de nouveau et choisit son futur lycée en fonction de son ambition. Il intègre donc le lycée Karasuno, où a joué son idole, le Petit Géant, tout en espérant faire aussi bien que lui.";https://str01-m.dpstream.media/a/4480/haikyu_2935-1478697059.jpg;Manga Haikyuu !! streaming, Manga Haikyuu !! dpstream, Manga Haikyuu !! HD, Haikyuu !! streaming VF
10;4479;Aggressive Retsuko;ND;En cours;1 min;;ND;"Courts épisodes sur la mascotte de Sanrio: Retsuko

Retsuko, une femelle panda roux de 25 ans, travaille dans la compagnie de ses rêves, dans le département de comptabilité. Mais son supérieur et ses collègues la surchargent de travail. Pour déstresser, elle se rends au karaoke pour chanter du death metal.";https://str01-m.dpstream.media/a/4479/index-1478696661.jpg;Manga Aggressive Retsuko streaming, Manga Aggressive Retsuko dpstream, Manga Aggressive Retsuko HD, Aggressive Retsuko streaming VF
