ID;NAME;TYPE
11;Action;anime
65;Amour & Amitié;anime
122;Amour & Romance;anime
64;Aventure;anime
66;Combat;anime
67;Comédie;anime
68;Contes & Récits;anime
69;Cyber & Mecha;anime
70;Dark Fantasy;anime
71;Drame;anime
72;Ecchi;anime
73;Educatif;anime
147;Enigme;anime
74;Enigme & Policier;anime
76;Espace & Science-fiction;anime
77;Familial;anime
123;Fantastique;anime
78;Fantastique & Mythe;anime
134;Harem;anime
80;Histoire;anime
81;Horreur;anime
133;Jeu;anime
82;Magical Girl;anime
83;Musical;anime
124;Mystère;anime
131;Post Apocalyptique;anime
84;Psychologique;anime
141;Romance;anime
121;School Life;anime
143;Science-fiction;anime
87;Shõjo-Ai;anime
132;Shõnen-Ai;anime
146;Slice of Life;anime
85;Sport;anime
125;Surnaturel;anime
86;Tranche de vie;anime
145;Yaoi;anime
75;Épique & Héroique;anime
