ID;NAME;TYPE
1;Action;series
19;Animation;series
20;Aventure;series
92;Biopic;series
22;Catastrophe;series
23;Comédie;series
93;Court-métrage;series
94;Divertissement;series
25;Documentaire;series
26;Drame;series
105;En cours de classement;series
95;Epouvante-horreur;series
144;Espionnage;series
96;Famille;series
28;Fantastique;series
29;Guerre;series
30;Histoire;series
97;Humour;series
98;Infos;series
99;Judiciaire;series
32;Musical;series
101;Mystère;series
100;Médical;series
102;Paranormal;series
33;Policier;series
34;Romance;series
35;Science-fiction;series
149;Sitcom;series
150;Soap;series
36;Spectacles;series
37;Sport;series
148;Telenovela;series
39;Thriller;series
38;Téléréalité;series
103;Ufologie;series
40;Western;series
