ROW_ID;ID;TITLE;ALT TITLE;RLS DATE;DURATION (MIN);DIRECTORS;ACTORS;CATEGORIES;ORIGIN;NB_SEASONS;NB_EPISODES;DESCRIPTION;IMAGE;KEYWORDS
1;7004;Gilmore Girls : Une nouvelle année;Gilmore Girls: A Year in the Life;En cours;90 min;Amy Sherman-Palladino;Lauren Graham, Melissa McCarthy, Alexis Bledel;;États-Unis;1;4;"Trois générations de femmes Gilmore font face au changement et à la complexité des liens familiaux qui les unissent pendant une année à Stars Hollow.
Suite de la série Gilmore Girls.";https://str01-m.dpstream.media/s/7004/gilmore-1480102069.jpg;Série Gilmore Girls : Une nouvelle année streaming,Gilmore Girls : Une nouvelle année dpstream, Série Gilmore Girls : Une nouvelle année HD, Gilmore Girls : Une nouvelle année streaming VF
2;7003;Madame Columbo (Kate the Detective);Mrs Columbo;Annuler;47 min;Richard Levinson,  William Link;Kate Mulgrew, Lili Haydn, Henry Jones;;États-Unis;2;13;"Cette série met en scène l'épouse du célèbre lieutenant Columbo. Entre son métier de journaliste et l'éducation de sa fille Jenny, la jeune femme se livre à la résolution de quelques enquêtes. Cette série est le spin-off de Columbo (1968) disponible ici

La série a changé plusieurs fois de nom pour sa version originale :
- Mrs. Columbo
- Kate Columbo
- Kate Loves a Mystery
- Kate the Detective";https://str01-m.dpstream.media/s/7003/zzaf---madame-columbo---mrs-columbo---kate-the-detective-v1-1479957222.jpg;Série Madame Columbo (Kate the Detective) streaming,Madame Columbo (Kate the Detective) dpstream, Série Madame Columbo (Kate the Detective) HD, Madame Columbo (Kate the Detective) streaming VF
3;7002;Search Party;ND;En cours;30 min;Michael Showalter,  Charles Rogers,  Sarah-Violet Bliss;Alia Shawkat, John Reynolds (II), Meredith Hagner;;États-Unis;1;10;Dory, jeune femme timide et frustrée, apprend la disparition de Chantal, une ancienne camarade de classe. Elle part à sa recherche avec ses amis.;https://str01-m.dpstream.media/s/7002/214718.jpg-r_640_600-b_1_d6d6d6-f_jpg-q_x-xxyxx-1479822573.jpg;Série Search Party streaming,Search Party dpstream, Série Search Party HD, Search Party streaming VF
4;7001;Sunny D;ND;En cours;20 min;Chris Cottam;Dane Baptiste, Don Warrington, Liz Hume Dawson, David Ajao;;Royaume-Uni;1;10;Dane ne supporte plus la routine qui s’est peu à peu installée dans sa vie quotidienne. A 30 ans, il vit toujours chez ses parents et dort dans sa chambre d’enfant, une situation qui ne plait à personne. Le jeune homme déteste son travail et aspire à plus d’ambition. Sur un coup de tête, Dane prend une décision radicale qui changera pour toujours son avenir…;https://str01-m.dpstream.media/s/7001/050612.jpg-r_640_600-b_1_d6d6d6-f_jpg-q_x-xxyxx-1479739441.jpg;Série Sunny D streaming,Sunny D dpstream, Série Sunny D HD, Sunny D streaming VF
5;7000;Mars;ND;En cours;52 min;Ron Howard,  Brian Gazer;Ben Cotton, Alex Saracco;;États-Unis;1;6;Le vaisseau spatial Daedalus a prévu d'atterrir sur Mars au mois de novembre de l'an 2033, comprenant l'équipage de six astronautes qui va effectuer sa première tentative afin d'établir une colonie permanente sur la Planète Rouge.;https://str01-m.dpstream.media/s/7000/mars-1479729268.jpg;Série Mars streaming,Mars dpstream, Série Mars HD, Mars streaming VF
6;6999;Incorporated;ND;En cours;42 min;Alex Pastor,  David Pastor;Julia Ormond, Dennis Haysbert, Allison Miller, Sean Teale;;États-Unis;1;8;Basée dans un monde où les corporations ont des pouvoirs illimités, l'histoire suit un homme qui va essayer de défier le système.;https://str01-m.dpstream.media/s/6999/301567.jpg-r_640_600-b_1_d6d6d6-f_jpg-q_x-xxyxx-1479664606.jpg;Série Incorporated streaming,Incorporated dpstream, Série Incorporated HD, Incorporated streaming VF
7;6998;Nightcap;ND;En cours;30 min;Johnny Milord;Lauren Blumenfeld, Brendan Clifford, Don Fanell;;États-Unis;1;10;Insanité et absurdité sont les maîtres mots dans les coulisses du programme Nightcap with Jimmy. Staci s'occupe des relations avec les invités du show, comprenant leurs caprices de diva comme leurs petites spécificités, tout en gérant son équipe pour le moins dysfonctionnelle.;https://str01-m.dpstream.media/s/6998/061863.jpg-r_640_600-b_1_d6d6d6-f_jpg-q_x-xxyxx-1479397098.jpg;Série Nightcap streaming,Nightcap dpstream, Série Nightcap HD, Nightcap streaming VF
8;6997;Good Behavior;ND;En cours;60 min;Chad Hodge,  Blake Crouch;Michelle Dockery, Juan Diego Botto, Fred Austin;;États-Unis;1;10;Letty Dobesh est une voleuse et faussaire, dont la vie part toujours dans la mauvaise direction. Exactement ce qu’elle aime. Tout juste sortie de prison, elle tente tant bien que mal de garder la tête hors de l’eau. Mais lorsqu’elle surprend un tueur à gages, engagé pour assassiner le mari d’une femme, elle ne peut s’empêcher de s'en mêler. Sa rencontre avec ce charment meurtrier, va alors la mener vers une relation aussi dangereuse que séduisante;https://str01-m.dpstream.media/s/6997/237092.jpg-r_640_600-b_1_d6d6d6-f_jpg-q_x-xxyxx-1479293763.jpg;Série Good Behavior streaming,Good Behavior dpstream, Série Good Behavior HD, Good Behavior streaming VF
9;6996;Shooter;ND;En cours;60 min;John Hlavin;Ryan Phillippe, Angelique Kenney, Cynthia Addai-Robinson;;États-Unis;1;12;Bob Lee Swagger, un ancien tireur d'élite au sein des Marines, reprend du service pour déjouer une tentative d'assassinat à l'encontre du président des États-Unis. Mais lorsqu'il se retrouve accusé du crime, il va devoir se servir de tout ce qu'il a appris au cours de sa carrière pour retrouver les vrais coupables et faire payer ceux qui l'ont piégé.;https://str01-m.dpstream.media/s/6996/584973.jpg-r_640_600-b_1_d6d6d6-f_jpg-q_x-xxyxx-1479293545.jpg;Série Shooter streaming,Shooter dpstream, Série Shooter HD, Shooter streaming VF
10;6995;Sweet/Vicious;ND;En cours;40 min;Jennifer Kaytin Robinson;Eliza Bennett, Taylor Dearden, Lindsay Chambers;;États-Unis;1;10;Durant la journée, Jules est la parfaite étudiante américaine. Elle fait même partie d'une des confréries de son université. Mais cette dernière garde un lourd secret : elle a été victime d'un viol commis sur le campus. Bien décidée à faire payer le responsable et à empêcher que cela ne se reproduise, Jules décide de faire justice, elle-même, la nuit. Aidée par Ophelia, une étudiante en droit, hacker et dealer, elle part en quête de vengeance...;https://str01-m.dpstream.media/s/6995/175455.jpg-r_640_600-b_1_d6d6d6-f_jpg-q_x-xxyxx-1479293181.jpg;Série Sweet/Vicious streaming,Sweet/Vicious dpstream, Série Sweet/Vicious HD, Sweet/Vicious streaming VF
