"ROW_ID";"TITLE";"ALT TITLE";"RLS DATE";"DURATION (MIN)";"CATEGORIES";"NB_EPISODES";"DESCRIPTION";"IMAGE";"KEYWORDS"
"1";"Haikyuu !!";"ND";"En cours";"25";"67,85";"25";"Titre alternatif : Haikyuu !! / Haikyû !!

Shôyô Hinata, surnommé Shô, aime plus que tout jouer au volley-ball et ce, malgré sa petite taille. Malheureusement, suite à une sévère défaite, son club de collège a été dissous, tous les membres étant partis.
Mais Shô est bien décidé à jouer de nouveau et choisit son futur lycée en fonction de son ambition. Il intègre donc le lycée Karasuno, où a joué son idole, le Petit Géant, tout en espérant faire aussi bien que lui.";"http://static.media.dpstream.net/a/4480/haikyu_2935-1478697059.jpg";"Manga Haikyuu !! streaming, Manga Haikyuu !! dpstream, Manga Haikyuu !! HD, Haikyuu !! streaming VF"
"2";"Aggressive Retsuko";"ND";"En cours";"1 min";"67,83";"ND";"Courts épisodes sur la mascotte de Sanrio: Retsuko

Retsuko, une femelle panda roux de 25 ans, travaille dans la compagnie de ses rêves, dans le département de comptabilité. Mais son supérieur et ses collègues la surchargent de travail. Pour déstresser, elle se rends au karaoke pour chanter du death metal.";"http://static.media.dpstream.net/a/4479/index-1478696661.jpg";"Manga Aggressive Retsuko streaming, Manga Aggressive Retsuko dpstream, Manga Aggressive Retsuko HD, Aggressive Retsuko streaming VF"
"3";"Aria the Origination";"ND";"En cours";"13";"71,143,146";"13";"Année 2301.
L'homme a terra formé Mars en une planète vivable, recouverte principalement d'eau et baptisée 'Aqua'. Sur Aqua, a été construit Neo-Venezia, une réplique exacte de l'ancienne Venise, de beaux canaux, des palais, des places, etc... Akari Mizunashi, une jeune fille de 15 ans, venant de Man-Home (anciennement connu sous le nom de Terre), arrive à Neo-Venezia pour devenir une ondines (filles faisant visiter la ville ou servant de taxi sur des gondoles) chez ARIA Company. La société est dirigée par Aria Pokoteng, un chat martien et Alicia Florence, l'une des trois meilleures gondolieres, également connu sous le nom des <<trois Fées de l'eau>> (et aussi la seule ondine de Aria Company). Malgré la dure formation, Akari aspire à devenir elle aussi une de ses Fées de l'eau. Beaucoup de rencontres et d'aventures attendent Akari dans son ascension pour devenir Prima.
Le thème de la troisième saison est, comme son nom l'indique, le début de la série.";"http://static.media.dpstream.net/a/4478/aria_the_origination_625-1478696528.jpg";"Manga Aria the Origination streaming, Manga Aria the Origination dpstream, Manga Aria the Origination HD, Aria the Origination streaming VF"
"4";"Idol Memories";"ND";"En cours";"14 min";"67,71,83";"ND";"Dans un futur proche où les représentations d'idols en réalité virtuelle sont devenue banales, deux groupes d'idols rivaux rivalisent pour le tant désiré 'tiara', qui représente les numéros 1 de l''Idol League'.";"http://static.media.dpstream.net/a/4477/idol_memories_5668-1478460116.jpg";"Manga Idol Memories streaming, Manga Idol Memories dpstream, Manga Idol Memories HD, Idol Memories streaming VF"
"5";"Honobono Log";"Fukamachi Naka Gashū Honobono Log ~Taisetsu na Kimi e~";"En cours";"10";"67,141,146";"10";"Titre alternatif : Heartwarming Log ~To Precious You / Fukamachi Naka Gashuu Honobono Log ~Taisetsu na Kimi e~/Naka Fukamachi Art Collection: Heartwarming Log ~To Precious You

Adaptation d'un livre d'image de Naka Fukamachi sortit en 2014 au Japon. A savoir qu'un deuxième nommé Honobono Log II ~Taisetsu na Kimi to~ est prévu mi-juillet.

Ce livre narre le quotidien de plusieurs familles.";"http://static.media.dpstream.net/a/4476/index-1478459555.jpg";"Manga Honobono Log streaming, Manga Honobono Log dpstream, Manga Honobono Log HD, Honobono Log streaming VF"
"6";"Classicaloid";"ND";"En cours";"24 min";"67,83,121,143,146";"ND";"Kanae et Sousuke sont deux lycéens vivant dans une petite ville qui essaye, tant bien que mal, de sortir du lot. Pour cela, des Classicaloids, des robots humanoïdes qui savent jouer de la musique, à l’effigies de Mozart et Beethoven font leur apparition. Mais contre toute attente, leur 'musik' fait apparaître d'autres robots géants, créant ainsi une grosse pagaille dans la ville ! Mais le problème est loin d'être réglé puisque d'autres Classicaloids feront leur apparition...";"http://static.media.dpstream.net/a/4475/classicaloid_4535-1477758040.jpg";"Manga Classicaloid streaming, Manga Classicaloid dpstream, Manga Classicaloid HD, Classicaloid streaming VF"
"7";"RWBY S4";"RWBY Volume 4";"En cours";"20 min";"11,64,67,70,123,143";"ND";"Saison 4 de RWBY";"http://static.media.dpstream.net/a/4473/images-1477757741.jpg";"Manga RWBY S4 streaming, Manga RWBY S4 dpstream, Manga RWBY S4 HD, RWBY S4 streaming VF"
"8";"RWBY S3";"RWBY Volume 3";"En cours";"12";"11,64,67,70,123,143";"12";"Saison 3 de RWBY";"http://static.media.dpstream.net/a/4472/s3-1477757522.jpg";"Manga RWBY S3 streaming, Manga RWBY S3 dpstream, Manga RWBY S3 HD, RWBY S3 streaming VF"
"9";"RWBY S2";"RWBY Volume 2";"En cours";"12";"11,64,67,70,123,143";"12";"Saison 2 de RWBY";"http://static.media.dpstream.net/a/4471/index-1477757286.jpg";"Manga RWBY S2 streaming, Manga RWBY S2 dpstream, Manga RWBY S2 HD, RWBY S2 streaming VF"
"10";"RWBY S1";"RWBY Volume 1";"En cours";"16";"11,64,67,70,123,143";"16";"L’histoire met en scène un groupe de quatre jeunes filles au sein d’une académie très spéciale. En effet, Ruby Rose, Weiss Schnee, Blake Belladonna et Yang Xiao Long apprennent à chasser des monstres surnommés les créatures de Grimm. Depuis la chute de Beacon, le monde de Remnant n'est pas pour autant apaisé. Des vies ont été perdues, la tension est encore palpable et même les membres de l'équipe RWBY sont divisées quant à l'attitude à adopter. Chacune de nos héroïnes part en voyage. Certaines cherchent à retrouver la paix intérieure, quand d'autres ont besoin de trouver des réponses au cours de leurs aventures. Avec d'autres membres de l'équipe JNPR, Ruby Rose a pris le chemin du royaume de Mistral. Ce périple sera semé d'embûches et de rencontres, amies ou ennemies, tandis qu'approche une menace encore plus grande…";"http://static.media.dpstream.net/a/4470/images-1477757034.jpg";"Manga RWBY S1 streaming, Manga RWBY S1 dpstream, Manga RWBY S1 HD, RWBY S1 streaming VF"
"11";"Drifters (OAV)";"ND";"En cours";"1";"11,64,67,123";"ND";"Il s'agit d'une version éditée non finalisé des deux premiers épisodes de la série TV.";"http://static.media.dpstream.net/a/4469/drifters_oav_5448-1477670163.jpg";"Manga Drifters (OAV) streaming, Manga Drifters (OAV) dpstream, Manga Drifters (OAV) HD, Drifters (OAV) streaming VF"
"12";"Evangelion: 3.0 You Can (Not) Redo";"ND";"En cours";"1";"69,131,143";"1";"14 ans se sont écoulés depuis la fin du second film, Asuka est chargée, en compagnie de Mari, de récupérer le Tesseract dans lequel est scellé l'Eva 01, lorsqu'elle est interceptée par le système d'autodéfense chargé d'empêcher quiconque de récupérer l'Eva 01, et sera sauvée par celle-ci. De retour de l'intérieur de l'Eva, Shinji se rend compte que beaucoup de choses ont changé, il est désormais considéré comme un criminel, retenu prisonnier par ses anciens amis de la Nerv qui forment désormais l'organisation Wille dont le but officieux est de détruire la Nerv et d'empêcher de nouveaux impacts. Ne retrouvant pas Ayanami, Shinji apprend qu'elle a disparu avant d'être secouru par une nouvelle Ayanami et l'Evangelion Mark-09. De retour au QG de la Nerv, il est accueilli par son père qui lui ordonne de piloter l'Eva 13 en compagnie d'un copilote : Kaworu Nagisa. Au cours de son errance, Shinji apprendra le résultat de ses actions, la vérité sur sa mère et sur Ayanami. C'est le moment que choisira Kaworu pour lui présenter son plan pour annuler le troisième impact, mais qui finalement mènera à la catastrophe du quatrième impact.";"http://static.media.dpstream.net/a/4468/index-1477669458.jpg";"Manga Evangelion: 3.0 You Can (Not) Redo streaming, Manga Evangelion: 3.0 You Can (Not) Redo dpstream, Manga Evangelion: 3.0 You Can (Not) Redo HD, Evangelion: 3.0 You Can (Not) Redo streaming VF"
"13";"Kubikiri Cycle : Aoiro Savant to Zaregoto Tsukai";"ND";"En cours";"8";"71,123,124,141";"ND";"Titre alternatif : Zaregoto Series

L'histoire se déroule sur l'île de Wet Crow’s Feather, où vit Iria Akagami, héritière d'une puissante famille. La jeune fille a été exilée sur l'île par le dirigeant de la Fondation Akagami, et y vit en compagnie de ses domestiques et de personnalités prestigieuses qui ont répondu à ses invitations. C'est ainsi que Ii et Tomo Kunagisa se sont retrouvés sur l'île.

Mais alors que chacun profite de la vie, un terrible meurtre est commis.";"http://static.media.dpstream.net/a/4467/kubikiri_cycle_aoiro_savant_to_zaregoto_tsukai_5528-1477646050.jpg";"Manga Kubikiri Cycle : Aoiro Savant to Zaregoto Tsukai streaming, Manga Kubikiri Cycle : Aoiro Savant to Zaregoto Tsukai dpstream, Manga Kubikiri Cycle : Aoiro Savant to Zaregoto Tsukai HD, Kubikiri Cycle : Aoiro Savant to Zaregoto Tsukai streaming VF"
"14";"Tokyo Ghoul √A";"ND";"En cours";"12";"71,81,84,123,125";"12";"Titre alternatif : Tokyo Ghoul 2nd Season / Tokyo Ghoul Root A / Tokyo Kushu 2nd Season

Saison 2 de l'anime Tokyo Ghoul.

Kaneki Ken accepte enfin son côté goule et décide d'affronter Yamori alias Jason.
Tandis que les membres de l'Antique se mêlent parmi Aogiri afin de délivrer le jeune homme, Tôka croise à nouveau le chemin de son petit frère, Ayato et décide de le combattre. Gêné par les inspecteurs du CCG, Yoshimura décide de les retarder en participant au combat.
La vérité sur la mystérieuse goule nommée 'la Chouette' va être dévoilée !";"http://static.media.dpstream.net/a/4465/tokyo_ghoul_a_3855-1477305017.jpg";"Manga Tokyo Ghoul √A streaming, Manga Tokyo Ghoul √A dpstream, Manga Tokyo Ghoul √A HD, Tokyo Ghoul √A streaming VF"
