"ROW_ID";"SERIE_TITLE";"SERIE_ROW_ID";"NAME"
"1";"Haikyuu !!";"1";"Episode 1"
"2";"Haikyuu !!";"1";"Episode 2"
"3";"Haikyuu !!";"1";"Episode 3"
"4";"Haikyuu !!";"1";"Episode 4"
"5";"Haikyuu !!";"1";"Episode 5"
"6";"Haikyuu !!";"1";"Episode 6"
"7";"Haikyuu !!";"1";"Episode 7"
"8";"Haikyuu !!";"1";"Episode 8"
"9";"Haikyuu !!";"1";"Episode 9"
"10";"Haikyuu !!";"1";"Episode 10"
"11";"Haikyuu !!";"1";"Episode 11"
"12";"Haikyuu !!";"1";"Episode 12"
"13";"Haikyuu !!";"1";"Episode 13"
"14";"Haikyuu !!";"1";"Episode 14"
"15";"Haikyuu !!";"1";"Episode 15"
"16";"Haikyuu !!";"1";"Episode 16"
"17";"Haikyuu !!";"1";"Episode 17"
"18";"Haikyuu !!";"1";"Episode 18"
"19";"Haikyuu !!";"1";"Episode 19"
"20";"Haikyuu !!";"1";"Episode 20"
"21";"Haikyuu !!";"1";"Episode 21"
"22";"Haikyuu !!";"1";"Episode 22"
"23";"Haikyuu !!";"1";"Episode 23"
"24";"Haikyuu !!";"1";"Episode 24"
"25";"Haikyuu !!";"1";"Episode 25"
"26";"Haikyuu !!";"1";"OAV 1"
"27";"Haikyuu !!";"1";"OAV 2"
"28";"Aggressive Retsuko";"2";"Episode 1"
"29";"Aggressive Retsuko";"2";"Episode 2"
"30";"Aggressive Retsuko";"2";"Episode 3"
"31";"Aggressive Retsuko";"2";"Episode 4"
"32";"Aggressive Retsuko";"2";"Episode 5"
"33";"Aggressive Retsuko";"2";"Episode 6"
"34";"Aggressive Retsuko";"2";"Episode 7"
"35";"Aggressive Retsuko";"2";"Episode 8"
"36";"Aggressive Retsuko";"2";"Episode 9"
"37";"Aggressive Retsuko";"2";"Episode 10"
"38";"Aggressive Retsuko";"2";"Episode 11"
"39";"Aggressive Retsuko";"2";"Episode 12"
"40";"Aggressive Retsuko";"2";"Episode 13"
"41";"Aggressive Retsuko";"2";"Episode 14"
"42";"Aggressive Retsuko";"2";"Episode 15"
"43";"Aggressive Retsuko";"2";"Episode 16"
"44";"Aggressive Retsuko";"2";"Episode 17"
"45";"Aggressive Retsuko";"2";"Episode 18"
"46";"Aggressive Retsuko";"2";"Episode 19"
"47";"Aggressive Retsuko";"2";"Episode 20"
"48";"Aggressive Retsuko";"2";"Episode 21"
"49";"Aggressive Retsuko";"2";"Episode 22"
