"ROW_ID";"TITLE";"ALT TITLE";"RLS DATE";"YEAR";"DURATION (MIN)";"DIRECTORS";"ACTORS";"CATEGORIES";"ORIGIN";"DESCRIPTION";"IMAGE";"KEYWORDS"
"1";"The Curse Of Sleeping Beauty";"ND";"2016-04-08";"2016";"89";"Pearry Reginald Teo";"Natalie Hall, Ethan Peck, India Eisley";"50";"États-Unis";"Quand Thomas hérite d’un vieux manoir, il se rend vite compte qu’il a une réputation aussi flatteuse que le Bates Motel…";"http://static.media.dpstream.net/m/23687/the_curse_of_sleeping_beauty-1479073700.jpg";"film The Curse Of Sleeping Beauty streaming, The Curse Of Sleeping Beauty dpstream, filmThe Curse Of Sleeping Beauty HD, The Curse Of Sleeping Beauty streaming VF"
"2";"Bridget Jones Baby";"ND";"2016-10-05";"2016";"123";"Sharon Maguire";"Patrick Dempsey, Colin Firth, Renée Zellweger";"45,56";"France, Irlande, Royaume-Uni, États-Unis";"Après avoir rompu avec Mark Darcy, Bridget se retrouve de nouveau célibataire, 40 ans passés, plus concentrée sur sa carrière et ses amis que sur sa vie amoureuse. Pour une fois, tout est sous contrôle ! Jusqu’à ce que Bridget fasse la rencontre de Jack… Puis retrouve Darcy… Puis découvre qu’elle est enceinte… Mais de qui ???";"http://static.media.dpstream.net/m/23686/bridget_jones's_baby_poster-1479044212.jpg";"film Bridget Jones Baby streaming, Bridget Jones Baby dpstream, filmBridget Jones Baby HD, Bridget Jones Baby streaming VF"
"3";"Sully";"ND";"2016-11-30";"2016";"96";"Clint Eastwood";"Tom Hanks";"43,48";"États-Unis";"Le 15 janvier 2009, le monde a assisté au 'miracle sur l'Hudson' accompli par le commandant 'Sully' Sullenberger : en effet, celui-ci a réussi à poser son appareil sur les eaux glacées du fleuve Hudson, sauvant ainsi la vie des 155 passagers à bord. Cependant, alors que Sully était salué par l'opinion publique et les médias pour son exploit inédit dans l'histoire de l'aviation, une enquête a été ouverte, menaçant de détruire sa réputation et sa carrière.";"http://static.media.dpstream.net/m/23685/sully-1479040887.jpg";"film Sully streaming, Sully dpstream, filmSully HD, Sully streaming VF"
"4";"Inferno (2016)";"ND";"2016-11-09";"2016";"122";"Ron Howard";"Tom Hanks, Ben Foster, Felicity Jones";"55,62";"États-Unis";"Dans 'Inferno', le célèbre expert en symbologie suit la piste d’indices liés au grand Dante lui-même. Robert Langdon se réveille dans un hôpital italien, frappé d’amnésie, et va devoir collaborer avec le docteur Sienna Brooks pour retrouver la mémoire. Tous deux vont sillonner l’Europe dans une course contre la montre pour déjouer un complot à l’échelle mondiale et empêcher le déchaînement de l’Enfer…";"http://static.media.dpstream.net/m/23684/inferno-1479040761.jpg";"film Inferno (2016) streaming, Inferno (2016) dpstream, filmInferno (2016) HD, Inferno (2016) streaming VF"
"5";"Abattoir (2016)";"Abattoir";"2016-12-09";"2016";"ND";"Darren Lynn Bousman";"Lin Shaye, Joe Anderson, Jessica Lowndes";"53,62";"États-Unis";"Une journaliste d'investigation s'associe avec un officier de police pour trouver des réponses sur un massacre de toute une famille. Cette famille se trouve être celle de la journaliste en question. Trouvera-t-elle une explication sur les motivations du meurtrier qui, en toute apparence est un homme bon et sans histoire ou reculera-t-elle devant ce mystère où la désolation, la souffrance, le mal, ... règnent en maître absolu ?";"http://static.media.dpstream.net/m/23683/abattoir-2016_-1478874097.jpg";"film Abattoir (2016) streaming, Abattoir (2016) dpstream, filmAbattoir (2016) HD, Abattoir (2016) streaming VF"
"6";"The Dog Who Saved 6: Le Chien qui a sauvé l'été";"The Dog Who Saved Summer";"2015-06-09";"2015";"85";"Sean Olson";"Dean Cain, Elisa Donovan, Gary Valentine";"45,61";"États-Unis";"Belinda débute une carrière dans l'événementiel. Lors d'une fête, l'arrivée inopinée de sa rivale Marilyn, accompagnée de son insupportable roquet, entraîne la chute du gâteau, des cadeaux et d'une partie des invités dans le bassin. La faute étant rejetée sur son chien, Zeus, Belinda décide de lui faire suivre un stage de dressage dans une école réputée pour laquelle elle organise aussi la fête de fin d'année...";"http://zupimages.net/up/16/45/b6gi.jpg";"film The Dog Who Saved 6: Le Chien qui a sauvé l'été streaming, The Dog Who Saved 6: Le Chien qui a sauvé l'été dpstream, filmThe Dog Who Saved 6: Le Chien qui a sauvé l'été HD, The Dog Who Saved 6: Le Chien qui a sauvé l'été streaming VF"
"7";"The Dog Who Saved 5: Le Chien qui a sauvé Pâques";"The Dog Who Saved Easter";"2014-03-18";"2014";"83";"Sean Olson";"Dean Cain, Elisa Donovan, Beverley Mitchell";"45,61";"États-Unis";"Partis en croisière, les Bannister placent leur chien Zeus dans le chenil tenu par l'adorable Alice, qui a transformé la maison de sa grand-mère en paradis canin. Grâce aux recommandations de Will, sympathique vétérinaire qui a craqué pour elle, le chenil est plein ; un succès qui irrite l'horrible Cressida, dont le chenil-prison concurrent est déserté. Cette dernière engage alors trois repris de justice pour couler le chenil d'Alice";"http://zupimages.net/up/16/45/bfy9.jpg";"film The Dog Who Saved 5: Le Chien qui a sauvé Pâques streaming, The Dog Who Saved 5: Le Chien qui a sauvé Pâques dpstream, filmThe Dog Who Saved 5: Le Chien qui a sauvé Pâques HD, The Dog Who Saved 5: Le Chien qui a sauvé Pâques streaming VF"
"8";"The Dog Who Saved 4: Le Chien qui a sauvé Noël";"The Dog Who Saved the Holidays";"2012-12-04";"2012";"83";"Michael Feifer";"Joey Lawrence, Peyton List, Gary Valentine";"45,61";"États-Unis";"Zeus, ancien chien policier, débarque avec la famille Bannister - George, sa femme enceinte Belinda et ses deux enfants Ben et Kara - en Californie pour passer les fêtes de Noël dans la demeure de Barbara, la soeur de George. Cette dernière offre aux enfants pour Noël un jeune bébé labrador, surnommé Eve, qui donnera bien des tracas à Zeus. De même que deux escrocs anciens cambrioleurs, chargés par leur patron de dérober un objet de grande valeur : l'étoile surplombant le sapin de Noël...";"http://zupimages.net/up/16/45/ffis.jpg";"film The Dog Who Saved 4: Le Chien qui a sauvé Noël streaming, The Dog Who Saved 4: Le Chien qui a sauvé Noël dpstream, filmThe Dog Who Saved 4: Le Chien qui a sauvé Noël HD, The Dog Who Saved 4: Le Chien qui a sauvé Noël streaming VF"
"9";"Père malgré lui";"Whose Baby";"2004-10-25";"2004";"90";"Rebecca Frayn";"Andrew Lincoln, Sophie Okonedo, Esther Coles";"48";"Royaume-Uni";"Karen veut un enfant, contrairement à son petit ami Barry. Lorsqu'elle tombe enceinte, Karen ne lui dit rien et rompt avec lui. Neuf mois plus tard, le bébé voit le jour et le besoin d'argent avec. Karen fait alors appel au planning familial qui se tourne vers Barry pour la pension alimentaire...";"http://zupimages.net/up/16/45/n93q.jpg";"film Père malgré lui streaming, Père malgré lui dpstream, filmPère malgré lui HD, Père malgré lui streaming VF"
"10";"Les coeurs patients";"The Wedding Chapel";"2013-04-03";"2013";"90";"Vanessa Parise";"Emmanuelle Vaugier, Shelley Long, Mark Deklin";"45,61";"Canada";"Sarah, une artiste peintre en mal de succès, se rend dans son village natal avec sa mère Jeanie pour sauver la maison familiale de la démolition. À sa place, la mairie souhaite construire un centre commercial et Sara découvre que la vieille chapelle du village est également condamnée. Elle décide alors de se battre en s'adressant à un conseiller municipal, Roger Waters, qui, tombé sous son charme, va tout faire pour l'aider...";"http://zupimages.net/up/16/45/gapo.jpg";"film Les coeurs patients streaming, Les coeurs patients dpstream, filmLes coeurs patients HD, Les coeurs patients streaming VF"
