"ROW_ID";"ID";"TITLE";"ALT TITLE";"RLS DATE";"YEAR";"DURATION (MIN)";"DIRECTORS";"ACTORS";"CATEGORIES";"ORIGIN";"DESCRIPTION";"IMAGE";"KEYWORDS"
"1";"23729";"Brotherly Love";"ND";"24-04-2015";"2015";"89";"Jamal Hill";"Keke Palmer, Faizon Love, Cory Hardrict, Eric D. Hill Jr., Romeo Miller, Macy Gray, Quincy Brown";"";"États-Unis";"Dans les rues de Philadelphie où il a grandi, Sergio Taylor devient peu à peu une star du basket tout en étant confronté aux ambitions et aux problèmes de son frère et sa soeur, qu'il a pris sous son aile après le décès de leur père.";"https://str01-m.dpstream.media/m/23729/593160.jpg-r_1920_1080-f_jpg-q_x-xxyxx-1480072540.jpg";"film Brotherly Love streaming, Brotherly Love dpstream, filmBrotherly Love HD, Brotherly Love streaming VF"
"2";"23728";"On marche sur la tête";"Perdiendo el norte";"06-03-2015";"2015";"104";"Nacho G. Velilla";"Yon González, Blanca Suárez, Carmen Machi";"";"Espagne";"Hugo et Braulio ont tous deux suivis de longues études universitaires. Fatigués de chercher du travail en Espagne, ils décident de tenter leur chance en Allemagne suite à un programme télé intitulé « Les Espagnols à travers le monde ». Mais c’est vite la désillusion…";"https://str01-m.dpstream.media/m/23728/265227.jpg-r_1920_1080-f_jpg-q_x-xxyxx-1480072358.jpg";"film On marche sur la tête streaming, On marche sur la tête dpstream, filmOn marche sur la tête HD, On marche sur la tête streaming VF"
"3";"23727";"Juillet Août";"ND";"13-07-2016";"2016";"106";"Diastème";"Patrick Chesnais, Thierry Godard, Pascale Arbillot, Alma Jodorowsky, Lou Chauvain";"";"France";"C’est l’été. Les familles migrent et se recomposent.
Laura, 14 ans, et Joséphine, 18 ans, partent en juillet avec leur mère dans le Sud, puis en août chez leur père en Bretagne.
La cohabitation entre ados et adultes ne manque ni de tendresse, souvent non-dite, ni d’exaspération, parfois bruyante…
Car les filles ont leurs secrets, qui n’ont pas grand-chose à envier aux problèmes de leurs parents et de leurs beaux-parents.
C’est l’été de tous les dangers ? Pas tout à fait. Quoique.";"https://str01-m.dpstream.media/m/23727/047406.jpg-r_1920_1080-f_jpg-q_x-xxyxx-1480072234.jpg";"film Juillet Août streaming, Juillet Août dpstream, filmJuillet Août HD, Juillet Août streaming VF"
"4";"23726";"Absolutely Fabulous : Le Film";"Absolutely Fabulous: The Movie";"07-12-2016";"2016";"96";"Mandie Fletcher";"Chris Colfer, Jennifer Saunders, Joanna Lumley, Julia Sawalha, Kate Moss";"";"Royaume-Uni, États-Unis";"Edina et Patsy mènent toujours la grande vie à laquelle elles sont habituées, virevoltant entre paillettes et glamour, dépensant, buvant et sortant dans les endroits les plus branchés de Londres. Mais quand elles poussent accidentellement Kate Moss dans la Tamise lors d’une soirée de lancement so à la mode, elles se retrouvent au coeur d’une tempête médiatique autour de la disparition prématurée du top model et sont poursuivies sans relâche par les paparazzi. Fuyant sans un sou sur la Côte d’Azur, le paradis des milliardaires, elles échafaudent un plan pour rendre leur échappée permanente et mener la belle vie pour toujours !";"https://str01-m.dpstream.media/m/23726/560248.jpg-r_1920_1080-f_jpg-q_x-xxyxx-1480072089.jpg";"film Absolutely Fabulous : Le Film streaming, Absolutely Fabulous : Le Film dpstream, filmAbsolutely Fabulous : Le Film HD, Absolutely Fabulous : Le Film streaming VF"
"5";"23725";"Spartacus & Cassandra";"ND";"11-02-2015";"2015";"80";"Ioanis Nuguet";"Cassandra Dumitru, Spartacus Ursu, Camille Brisson";"";"France";"Spartacus, jeune Rom de 13 ans et sa soeur Cassandra, 10 ans sont recueillis dans le chapiteau-squat de Camille, une drôle de fée trapéziste qui prend soin d’eux, leur offre un toit et leur montre le chemin de l’école. Mais le cœur des enfants est déchiré entre l’avenir qui s’offre à eux… Et leurs parents qui vivent encore dans la rue.";"https://str01-m.dpstream.media/m/23725/070792.jpg-r_1920_1080-f_jpg-q_x-xxyxx-1479980313.jpg";"film Spartacus & Cassandra streaming, Spartacus & Cassandra dpstream, filmSpartacus & Cassandra HD, Spartacus & Cassandra streaming VF"
"6";"23724";"Hands Of Stone";"ND";"26-08-2016";"2016";"111";"Jonathan Jakubowicz";"Ellen Barkin, Robert De Niro, Édgar Ramírez";"";"États-Unis";"Retour sur la carrière du boxeur panaméen Roberto Duràn.";"https://str01-m.dpstream.media/m/23724/handsofmovie-1479959510.jpg";"film Hands Of Stone streaming, Hands Of Stone dpstream, filmHands Of Stone HD, Hands Of Stone streaming VF"
"7";"23723";"Dangereuse convoitise";"Point of Entry";"03-11-2007";"2007";"84";"Stephen Bridgewater";"Patrick Muldoon, Roark Critchlow, Holly Marie Combs";"";"États-Unis";"En Arizona, le meurtre d'une femme, retrouvée avec un livre d'images à ses côtés, occupe la rubrique des faits divers de la région. Au même moment, un jeune couple, dont la femme fut victime d'une agression à leur domicile, vient s'installer dans une demeure protégée de l'arrière pays. Rapidement, leur nouvelle vie ressemble à l'ancienne avec leur fils Sam : Richard travaille autant et Kathie a trouvé un emploi chez un voisin fortuné, écrivain, dessinateur et célibataire, Caleb Theroux. Peu de temps après, le détective Miles Porter, chargé de résoudre l'homicide, s'intéresse à l'auteur du livre découvert sur le lieu du crime...";"http://zupimages.net/up/16/47/34i3.jpg";"film Dangereuse convoitise streaming, Dangereuse convoitise dpstream, filmDangereuse convoitise HD, Dangereuse convoitise streaming VF"
"8";"23722";"Coupable par amour";"Guilt by Association";"13-03-2002";"2002";"95";"Graeme Campbell";"Alberta Watson, Alex Carter, Mercedes Ruehl";"";"Canada, États-Unis";"Susan Walker, mère célibataire de deux enfants de 9 et 5 ans, Max et Hannah, bénit le ciel d'avoir rencontré un nouveau compagnon, Rudy Russell, semblant répondre à un profil parfait. De plus, il l'aide avec générosité et enthousiasme à nouer les deux bouts, la vie quotidienne étant matériellement difficile pour elle. Cependant, cette éclaircie dans sa vie est de courte durée. Le jour où elle découvre que Russell fait du trafic de drogue, elle veut rompre immédiatement. Pas question que ses enfants soient mis en danger à cause de ses activités illicites";"http://zupimages.net/up/16/47/orqq.jpg";"film Coupable par amour streaming, Coupable par amour dpstream, filmCoupable par amour HD, Coupable par amour streaming VF"
"9";"23721";"Conclusions hâtives";"Snap Decision";"04-06-2001";"2001";"90";"Alan Metzger";"Felicity Huffman, Mare Winningham, Chelcie Ross";"";"États-Unis";"Jennifer Bradley, veuve, élève ses enfants avec l'aide ponctuelle de leur marraine, Carrie Dixon, une amie d'enfance. Photographe professionnelle, Carrie a un jour l'idée - tout à fait innocente - de prendre des clichés des enfants en pyjama. Tombées dans des mains suspicieuses, transmises à la police, ces photos éveillent la curiosité de l'inspecteur John Collins, qui ne s'embarrasse pas de questions. Bientôt, les deux amies se voient accusées d'alimenter un réseau de pornographie enfantine. Ce qui ressemble de prime abord à une mauvaise plaisanterie tourne vite au cauchemar : Jennifer encourt une peine de cinquante ans de prison.";"http://zupimages.net/up/16/47/bpq8.jpg";"film Conclusions hâtives streaming, Conclusions hâtives dpstream, filmConclusions hâtives HD, Conclusions hâtives streaming VF"
"10";"23720";"Candidat à l'amour";"Fairfield Road";"16-08-2010";"2010";"89";"David Weaver";"Jesse Metcalfe, Natalie Lisinska, Derek McGrath";"";"États-Unis";"Après avoir brillamment organisé la campagne d'une élue de Washington, Noah McManus décroche un poste au Sénat. Mais, après un revers politique et la rupture avec sa petite amie, il choisit de s'installer dans une bourgade de pêcheurs où se prépare l'élection du prochain administrateur de la ville. Il s'investit dans la campagne locale contre un investisseur véreux et rencontre Hailey, une charmante libraire...";"http://zupimages.net/up/16/47/a0kz.jpg";"film Candidat à l'amour streaming, Candidat à l'amour dpstream, filmCandidat à l'amour HD, Candidat à l'amour streaming VF"
