"ROW_ID";"TITLE";"ALT TITLE";"RLS DATE";"DURATION (MIN)";"DIRECTORS";"ACTORS";"CATEGORIES";"ORIGIN";"NB_SEASONS";"NB_EPISODES";"DESCRIPTION";"IMAGE";"KEYWORDS"
"1";"Close to the Enemy";"ND";"En cours";"60 min";"Stephen Poliakoff";"Angela Bassett, Alfie Allen, Sebastian Armesto";"26,29,30";"Royaume-Uni";"1";"8";"1946. Londres est ravagée par la guerre. Le capitaine Callum Ferguson se voit confier une mission diplomatique délicate : persuader un éminent scientifique allemand venant d’être arrêté de collaborer avec les services secrets britanniques.";"http://static.media.dpstream.net/s/6992/close-1478862144.jpg";"Série Close to the Enemy streaming,Close to the Enemy dpstream, Série Close to the Enemy HD, Close to the Enemy streaming VF"
"2";"American Experience";"ND";"En cours";"50 min";"Henry Hampton,  Stephen Fitzmeyer";"Morgan Freeman, Liev Schreiber, Stacy Keach, Peter Coyote, Eli Wallach, Laura Linney, Walt Disney, Jason Robards, Kathy Bates, Philip Bosco";"25,30,92,94,98";"États-Unis";"28";"318";"American Experience est une série documentaire créée en 1988 et toujours diffusée sur la chaîne de télévision publique américaine PBS.
De grands noms tels que Walt Disney, Liev Schreiber, Peter Coyote, Stacy Keach, Eli Wallach, Laura Linney, Philip Bosco et Kathy Bates, Jason Robards et Morgan Freeman ont participé à la série en tant que narrateurs ou interprètes.
Plusieurs épisodes ont été distingué en recevant des Peabody Awards considérés comme la plus vieille distinction dans les médias modernes, et sont généralement considérés comme la plus prestigieuse récompense dans les domaines du journalisme télévisé ou radiodiffusé, la réalisation de documentaire, les programmes éducatifs et le divertissement.

Liste (anglaise) des épisodes
https://en.wikipedia.org/wiki/List_of_American_Experience_episodes";"http://static.media.dpstream.net/s/6991/zzaf---american-experience---v1-1478824902.jpg";"Série American Experience streaming,American Experience dpstream, Série American Experience HD, American Experience streaming VF"
"3";"Mariés au premier regard";"ND";"En cours";"90 min";"Groupe M6";"Cathe­rine Solano, Stéphane Edouard, Pascal de Sutter";"34,38,94,96";"France";"1";"3";"La science peut-elle nous aider à trouver le grand amour ? Alors que les sites ou applications de rencontres se multiplient et que les moyens de trouver le partenaire idéal semblent plus nombreux qu'auparavant, un constat s'impose...

Les experts : Pascal de Sutter, docteur en psychologie, Catherine Solano, médecin sexologue et andrologue, Stéphane Edouard, sociologue

Adaptation française du format américain <b>Married at first sight </b>";"http://static.media.dpstream.net/s/6990/zzaf---mariés-au-premier-regard--2016-v1-1478807318.jpg";"Série Mariés au premier regard streaming,Mariés au premier regard dpstream, Série Mariés au premier regard HD, Mariés au premier regard streaming VF"
"4";"Hindenburg, l'ultime odyssée - Hindenburg, le géant des airs";"Hindenburg: The Last Flight";"En cours";"90 min";"Philipp Kadelbach";"Stacy Keach, Maximilian Simonischek, Lauren Lee Smith";"1,22,26,39";"Allemagne";"1";"2";"Évocation de l'une des plus grandes catastrophes aériennes de l'histoire : l'incendie du dirigeable allemand Hindenburg en 1937.";"http://static.media.dpstream.net/s/6989/zzaf---hindenburg-lultime-odyssée-1478664803.jpg";"Série Hindenburg,  l'ultime odyssée - Hindenburg,  le géant des airs streaming,Hindenburg,  l'ultime odyssée - Hindenburg,  le géant des airs dpstream, Série Hindenburg,  l'ultime odyssée - Hindenburg,  le géant des airs HD, Hindenburg,  l'ultime odyssée - Hindenburg,  le géant des airs streaming VF"
"5";"Frontier";"ND";"En cours";"60 min";"Brad Peyton,  Kelly Makin,  John Vatcher";"Alun Armstrong, Landon Liboiron, Jason Momoa";"20,40";"États-Unis";"1";"6";"Cette série d’action et d’aventure suit la lutte violente et chaotique pour la prise de pouvoir et le contrôle des richesses dans l’Amérique du Nord de la fin du 18e siècle. Racontée sous différentes perspectives, la série se déroule dans un monde où les négociations commerciales peuvent se solder par un coup de hache et où les relations sensibles entre les tribus d’indiens d’Amérique et les Européens peuvent se transformer en bain de sang.";"http://static.media.dpstream.net/s/6988/545983.jpg-r_640_600-b_1_d6d6d6-f_jpg-q_x-xxyxx-1478528202.jpg";"Série Frontier streaming,Frontier dpstream, Série Frontier HD, Frontier streaming VF"
"6";"Dirk Gently's Holistic Detective Agency (2016)";"Dirk Gently's Holistic Detective Agency";"En cours";"60 min";"Max Landis";"Elijah Wood, Samuel Barnett, Hannah Marks";"23,33,35,39";"États-Unis";"1";"3";"Les étranges aventures de l'excentrique Dirk Gently et de son assistant Todd à propros de mystérieuses affaires...";"http://static.media.dpstream.net/s/6987/121946.jpg-r_640_600-b_1_d6d6d6-f_jpg-q_x-xxyxx-1478430295.jpg";"Série Dirk Gently's Holistic Detective Agency (2016) streaming,Dirk Gently's Holistic Detective Agency (2016) dpstream, Série Dirk Gently's Holistic Detective Agency (2016) HD, Dirk Gently's Holistic Detective Agency (2016) streaming VF"
"7";"Miraculous, les aventures de Ladybug et Chat Noir";"ND";"En cours";"26 min";"Thomas Astruc";"Anouck Hautbois, Benjamin Bollen, Antoine Tomé";"1,19,23";"France, Japon, République de Corée";"2";"26";"Marinette et Adrien sont deux collégiens presque comme les autres. À la moindre menace sur Paris, ils deviennent Ladybug et Chat Noir. Leur mission : capturer les Akoumas du mystérieux Papillon qui transforment les Parisiens en supervilains. Si les deux héros font équipe, chacun ignore la véritable identité de l’autre : Marinette ne sait pas que derrière Chat Noir se cache Adrien, le garçon qu’elle aime secrètement ; et Adrien, dont le cœur bat pour Ladybug, ignore que derrière le costume de la superhéroïne se dissimule la fille sympa et tête en l’air de sa classe…";"http://static.media.dpstream.net/s/6986/zzaf---miraculous-les-aventures-de-ladybug-et-chat-noir-2015-1478315059.jpg";"Série Miraculous, les aventures de Ladybug et Chat Noir streaming,Miraculous, les aventures de Ladybug et Chat Noir dpstream, Série Miraculous, les aventures de Ladybug et Chat Noir HD, Miraculous, les aventures de Ladybug et Chat Noir streaming VF"
"8";"The Crown";"ND";"En cours";"40 min";"Peter Morgan";"Claire Foy, John Lithgow, Matt Smith (IV)";"26,30,92";"États-Unis";"1";"10";"La série se concentre sur la Reine Elizabeth II, alors âgée de 25 ans et confrontée à la tâche démesurée de diriger la plus célèbre monarchie du monde tout en nouant des relations avec le légendaire premier ministre Sir Winston Churchill. L’empire britannique est en déclin, le monde politique en désarroi… une jeune femme monte alors sur le trône, à l’aube d’une nouvelle ère.";"http://static.media.dpstream.net/s/6985/thecrown-1478269028.jpg";"Série The Crown streaming,The Crown dpstream, Série The Crown HD, The Crown streaming VF"
"9";"DiCaire Show";"ND";"En cours";"120 min";"Franck Broqua,  Frank Saurat";"Véronic Dicaire";"32,36,94,97";"France";"1";"2";"Imitatrice, chanteuse, comédienne, danseuse, Véronic DiCaire est devenue en quelques années une figure incontournable du divertissement. Celle qui s'est révélée en assurant la première partie de Céline Dion en 2008 a depuis conquis le coeur des Français en imitant à s'y méprendre plus de cent voix françaises et internationales et en remplissant les salles de spectacles les plus prestigieuses. 
Dans la grande tradition des shows à l'Américaine, Véronic DiCaire mélange imitations, parodies, sketches et musique. 
Autour d'un grand orchestre, elle reçoit les plus grands artistes français du rire et de la chanson.";"http://static.media.dpstream.net/s/6984/zzaf---le-dicaire-show---2016-v1-1478199440.jpg";"Série DiCaire Show streaming,DiCaire Show dpstream, Série DiCaire Show HD, DiCaire Show streaming VF"
"10";"Stan Against Evil";"ND";"En cours";"22 min";"Dana Gould";"John C. McGinley, Janet Varney, Nate Mooney";"23,95";"États-Unis";"1";"8";"Stan, shérif forcé de prendre une retraite anticipée, a du mal à passer le flambeau à sa remplaçante, Evie. Les deux vont néanmoins former une alliance afin de combattre des démons qui hantent la ville, construite sur le lieu d'un massacre de sorcières au 17ème siècle.";"http://static.media.dpstream.net/s/6983/331252.jpg-r_640_600-b_1_d6d6d6-f_jpg-q_x-xxyxx-1478167203.jpg";"Série Stan Against Evil streaming,Stan Against Evil dpstream, Série Stan Against Evil HD, Stan Against Evil streaming VF"
