"SERIE_TITLE";"SERIE_ROW_ID";"SEASON_NAME";"SEASON_ROW_ID";"EPISODE_NAME";"EPISODE_ROW_ID";"PLAYER";"VERSION";"QUALITY";"LINK"
"Close to the Enemy";"1";"Saison 1";"1";"S1 E1";"1";" 
openload";"VO";"360";"https://openload.co/embed/ylN9Ag1bOAg/"
"Close to the Enemy";"1";"Saison 1";"1";"S1 E1";"1";" 
youwatch";"VO";"360";"http://youwatch.org/embed-hlcbt1np2hvb.html"
"Close to the Enemy";"1";"Saison 1";"1";"S1 E1";"1";" 
exashare";"VO";"360";"http://exashare.com/embed-ya3e6rox4jfe.html"
"Close to the Enemy";"1";"Saison 1";"1";"S1 E1";"1";" 
allvid";"VO";"360";"http://allvid.ch/embed-7e1twqi57m4x.html"
"American Experience";"2";"Saison 24";"2";"S24 E1";"2";" 
openload";"VF";"360";"https://openload.co/embed/oEDMf8TIWbc/"
"American Experience";"2";"Saison 25";"3";"S25 E6";"3";" 
openload";"VFQ";"360";"https://openload.co/embed/G6mEgL8bVNI/"
"American Experience";"2";"Saison 27";"4";"S27 E8";"4";" 
openload";"VF";"360";"https://openload.co/embed/_cIZhqZ_AFQ/"
"American Experience";"2";"Saison 27";"4";"S27 E9";"5";" 
openload";"VF";"360";"https://openload.co/embed/jwG8gmWO_ls/"
"Mariés au premier regard";"3";"Saison 1";"5";"S1 E1";"6";" 
openload";"VF";"360";"https://openload.co/embed/7b-a1l67yBY/"
"Hindenburg, l'ultime odyssée - Hindenburg, le géant des airs";"4";"Saison 1";"6";"S1 E1";"7";" 
openload";"VF";"360";"https://openload.co/embed/H6oYlAap8O4/"
"Hindenburg, l'ultime odyssée - Hindenburg, le géant des airs";"4";"Saison 1";"6";"S1 E2";"8";" 
openload";"VF";"360";"https://openload.co/embed/Mv0MXOHIIyQ/"
"Frontier";"5";"Saison 1";"7";"S1 E1";"9";" 
openload";"VO";"360";"https://openload.co/embed/2TwSRAkXUTs/"
"Frontier";"5";"Saison 1";"7";"S1 E1";"9";" 
allvid";"VO";"360";"http://allvid.ch/embed-yav21c8ynzmf.html"
"Frontier";"5";"Saison 1";"7";"S1 E1";"9";" 
exashare";"VO";"360";"http://exashare.com/embed-2bb357zsdc9i.html"
"Frontier";"5";"Saison 1";"7";"S1 E1";"9";" 
youwatch";"VO";"360";"http://youwatch.org/embed-wev5p55p2tfe.html"
"Dirk Gently's Holistic Detective Agency (2016)";"6";"Saison 1";"8";"S1 E1";"10";" 
openload";"VOSTFR";"360";"https://openload.co/embed/d2wn20SzabQ/"
"Dirk Gently's Holistic Detective Agency (2016)";"6";"Saison 1";"8";"S1 E1";"10";" 
allvid";"VOSTFR";"360";"http://allvid.ch/embed-z0jhbgtjh9jw.html"
"Dirk Gently's Holistic Detective Agency (2016)";"6";"Saison 1";"8";"S1 E1";"10";" 
exashare";"VOSTFR";"360";"http://exashare.com/embed-5qna3l5rbph9.html"
"Dirk Gently's Holistic Detective Agency (2016)";"6";"Saison 1";"8";"S1 E1";"10";" 
openload";"VOSTFR";"360";"https://openload.co/embed/p4IYsJ-qqZY/"
"Dirk Gently's Holistic Detective Agency (2016)";"6";"Saison 1";"8";"S1 E1";"10";" 
exashare";"VOSTFR";"360";"http://exashare.com/embed-suf8lc773kyx.html"
"Dirk Gently's Holistic Detective Agency (2016)";"6";"Saison 1";"8";"S1 E1";"10";" 
youwatch";"VOSTFR";"360";"http://youwatch.org/embed-3y96txyke3ld.html"
"Dirk Gently's Holistic Detective Agency (2016)";"6";"Saison 1";"8";"S1 E1";"10";" 
allvid";"VOSTFR";"360";"http://allvid.ch/embed-a2i3ey5r041x.html"
"Dirk Gently's Holistic Detective Agency (2016)";"6";"Saison 1";"8";"S1 E1";"10";" 
exashare";"VOSTFR";"360";"http://exashare.com/embed-jmz2aqdp06mw.html"
"Dirk Gently's Holistic Detective Agency (2016)";"6";"Saison 1";"8";"S1 E2";"11";" 
openload";"VOSTFR";"360";"https://openload.co/embed/zaeCp5Roocs/"
"Dirk Gently's Holistic Detective Agency (2016)";"6";"Saison 1";"8";"S1 E2";"11";" 
youwatch";"VOSTFR";"360";"http://youwatch.org/embed-veqhcvwvya0z.html"
"Dirk Gently's Holistic Detective Agency (2016)";"6";"Saison 1";"8";"S1 E2";"11";" 
exashare";"VOSTFR";"360";"http://exashare.com/embed-gpxzm5ecif8e.html"
"Dirk Gently's Holistic Detective Agency (2016)";"6";"Saison 1";"8";"S1 E2";"11";" 
allvid";"VOSTFR";"360";"http://allvid.ch/embed-zsp12a6tvfc0.html"
"Dirk Gently's Holistic Detective Agency (2016)";"6";"Saison 1";"8";"S1 E2";"11";" 
openload";"VOSTFR";"360";"https://openload.co/embed/2P2E3vFMz8s/"
"Dirk Gently's Holistic Detective Agency (2016)";"6";"Saison 1";"8";"S1 E2";"11";" 
openload";"VO";"360";"https://openload.co/embed/6DFfoYV3738/"
"Dirk Gently's Holistic Detective Agency (2016)";"6";"Saison 1";"8";"S1 E2";"11";" 
allvid";"VO";"360";"http://allvid.ch/embed-s5py17ogixhq.html"
"Dirk Gently's Holistic Detective Agency (2016)";"6";"Saison 1";"8";"S1 E2";"11";" 
exashare";"VO";"360";"http://exashare.com/embed-4j8y40qc5h27.html"
"Dirk Gently's Holistic Detective Agency (2016)";"6";"Saison 1";"8";"S1 E3";"12";" 
openload";"VO";"360";"https://openload.co/embed/dRyDXXEbxrg/"
"Dirk Gently's Holistic Detective Agency (2016)";"6";"Saison 1";"8";"S1 E3";"12";" 
allvid";"VO";"360";"http://allvid.ch/embed-e7bzqdq64w2m.html"
"Dirk Gently's Holistic Detective Agency (2016)";"6";"Saison 1";"8";"S1 E3";"12";" 
exashare";"VO";"360";"http://exashare.com/embed-joeolexe8p9m.html"
"Miraculous, les aventures de Ladybug et Chat Noir";"7";"Saison 1";"9";"S1 E1";"13";" 
openload";"VF";"360";"https://openload.co/embed/PinIOgs4vXY/"
"Miraculous, les aventures de Ladybug et Chat Noir";"7";"Saison 1";"9";"S1 E2";"14";" 
openload";"VF";"360";"https://openload.co/embed/2sDOlN3cPA8/"
"Miraculous, les aventures de Ladybug et Chat Noir";"7";"Saison 1";"9";"S1 E3";"15";" 
openload";"VF";"360";"https://openload.co/embed/41j7hWZb_Ps/"
"Miraculous, les aventures de Ladybug et Chat Noir";"7";"Saison 1";"9";"S1 E4";"16";" 
openload";"VF";"360";"https://openload.co/embed/GZQY_3YmE1s/"
"Miraculous, les aventures de Ladybug et Chat Noir";"7";"Saison 1";"9";"S1 E5";"17";" 
openload";"VF";"360";"https://openload.co/embed/gNpdnpYKRm4/"
"Miraculous, les aventures de Ladybug et Chat Noir";"7";"Saison 1";"9";"S1 E6";"18";" 
openload";"VF";"360";"https://openload.co/embed/RnIhc_SfbTs/"
"Miraculous, les aventures de Ladybug et Chat Noir";"7";"Saison 1";"9";"S1 E7";"19";" 
openload";"VF";"360";"https://openload.co/embed/yR5k-UmPDuU/"
"Miraculous, les aventures de Ladybug et Chat Noir";"7";"Saison 1";"9";"S1 E8";"20";" 
openload";"VF";"360";"https://openload.co/embed/6bZhNKsd4Zo/"
"Miraculous, les aventures de Ladybug et Chat Noir";"7";"Saison 1";"9";"S1 E9";"21";" 
openload";"VF";"360";"https://openload.co/embed/UzlHuJ4g3wg/"
"Miraculous, les aventures de Ladybug et Chat Noir";"7";"Saison 1";"9";"S1 E10";"22";" 
openload";"VF";"360";"https://openload.co/embed/jP34sh3koOQ/"
"Miraculous, les aventures de Ladybug et Chat Noir";"7";"Saison 1";"9";"S1 E11";"23";" 
openload";"VF";"360";"https://openload.co/embed/QSX58UZM29A/"
"Miraculous, les aventures de Ladybug et Chat Noir";"7";"Saison 1";"9";"S1 E12";"24";" 
openload";"VF";"360";"https://openload.co/embed/SNIaxMAChDc/"
"Miraculous, les aventures de Ladybug et Chat Noir";"7";"Saison 1";"9";"S1 E13";"25";" 
openload";"VF";"360";"https://openload.co/embed/PifeT9gSHjc/"
"Miraculous, les aventures de Ladybug et Chat Noir";"7";"Saison 1";"9";"S1 E14";"26";" 
openload";"VF";"360";"https://openload.co/embed/miqHmFCxwKA/"
"Miraculous, les aventures de Ladybug et Chat Noir";"7";"Saison 1";"9";"S1 E15";"27";" 
openload";"VF";"360";"https://openload.co/embed/m1zALHWChfk/"
